도로명 주소,매매 가격(만 원),평당 가격(만 원),공급 면적,전용 면적,전용률,매매 대상 층 수,건물 전체 층 수,방 개수,욕실 개수,총 주차 공간 개수,세대 당 주차 공간 평균,취득세(만 원),,,
경기 성남시 분당구 구미로 100 무지개마을10단지삼성건영 1002동11층,125000,3300,125.22,101.82,81.31288931,11,13,4,2,797,1.6,4375,,,
경기 성남시 분당구 구미로 115 무지개6단지건영 602동5층,135000,2798,159.52,134.82,84.51604814,5,15,4,2,208,1,4725,,,
경기 성남시 분당구 구미로 143 무지개마을7단지라이프 701동6층,120000,3226,122.97,101.99,82.93892819,6,15,4,2,444,2,4200,,,
경기 성남시 분당구 구미로 50 무지개2단지LG 208동15층,108500,3934,91.17,72.01,78.98431502,15,15,3,1,930,1.04,3580,,,
경기 성남시 분당구 구미로144번길 7 무지개8단지제일 802동8층,125000,3306,124.98,101.91,81.54104657,8,14,4,2,304,1.76,4375,,,
경기 성남시 분당구 구미로144번길 8 무지개9단지동아 901동1층,130000,2658,161.7,134.16,82.96846011,1,17,4,2,230,2,4550,,,
경기 성남시 분당구 구미로173번길 47 서울시니어스분당타워 1동8층,21000,1270,54.69,39.53,72.28012434,8,8,1,1,0,0,231,,,
경기 성남시 분당구 금곡로 171현대노블리스 106동2층,210000,3449,201.29,189.26,94.02354811,2,4,5,2,269,2.92,7350,,,
경기 성남시 분당구 금곡로 233 청솔동아 1001동9층,165000,3384,161.19,135,83.7520938,9,12,4,2,0,0,5775,,,
경기 성남시 분당구 금곡로 263 청솔공무원 508동7층,100000,3909,84.55,58.71,69.43820225,7,20,2,1,271,0.57,3300,,,
경기 성남시 분당구 내정로 54 한솔6단지주공 603동9층,82000,5100,53.15,37.67,70.87488241,9,15,2,1,433,0.41,2227,,,
경기 성남시 분당구 대왕판교로 155 더헤리티지 102동4층,140000,2538,182.38,139.08,76.25836166,4,4,4,2,555,1.42,4900,,,
경기 성남시 분당구 대왕판교로606번길 10 알파리움1단지 103동중층,285000,5756,163.68,129.39,79.05058651,11,18,4,2,1183,2.83,9975,,,
경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 2동저층,260000,5360,160.35,127.6,79.57592766,5,20,4,2,389,2.73,9100,,,
경기 성남시 분당구 동판교로 123 판교푸르지오그랑블 107동12층,280000,7108,130.23,105.13,80.72640713,12,20,3,2,1718,1.81,9800,,,
경기 성남시 분당구 동판교로177번길 25 판교호반써밋플레이스 102동고층,300000,6080,163.12,131.24,80.45610593,17,18,4,2,362,2.03,10500,,,
경기 성남시 분당구 무지개로 144 무지개5단지청구 504동4층,112000,3399,108.91,85,78.0460931,4,15,3,2,907,0.97,3696,,,
경기 성남시 분당구 미금로 114 하얀마을그랜드빌 201동2층,130000,2687,159.94,134.44,84.0565212,2,3,4,2,640,1.97,4550,,,
경기 성남시 분당구 미금로 215 청솔대원 801동2층,87000,4086,70.39,50.4,71.6010797,2,15,2,1,1194,1.45,2679,,,
경기 성남시 분당구 미금로 216 청솔주공9단지 903동7층,75000,4954,50.06,36.54,72.99240911,7,15,2,1,450,0.44,1650,,,
경기 성남시 분당구 미금로 23 무지개1단지대림 105동3층,78000,3076,83.84,60.72,72.42366412,3,15,3,1,778,1,1887,,,
경기 성남시 분당구 미금로 251 청솔성원 709동19층,170000,3469,161.98,134.67,83.13989381,19,20,4,2,0,0,5950,,,
경기 성남시 분당구 미금로 63 무지개마을3단지신한,88000,0,87.52,68.16,77.87934186,2,20,3,1,806,0.83,2778,,,
경기 성남시 분당구 미금로 66 무지개4단지주공 403동6층,95000,3977,78.98,58.14,73.61357306,6,15,3,1,1358,2.41,3135,,,
경기 성남시 분당구 미금일로 21 하얀주공5단지 505동19층,71000,4396,53.38,38.07,71.31884601,19,21,2,1,319,0.4,1351,,,
경기 성남시 분당구 미금일로 7 힐스빌8차 B동3층,170000,3279,171.4,130.86,76.34772462,3,4,3,2,45,2.36,5950,,,
경기 성남시 분당구 백현로 206 한솔4단지주공 416동1층,70000,4624,50.04,35.28,70.50359712,1,15,2,1,658,0.39,1285,,,
경기 성남시 분당구 백현로 227 푸른쌍용 503동13층,185000,3950,154.82,131.4,84.87275546,13,16,4,2,2475,2,6475,,,
경기 성남시 분당구 백현로 234 한솔3단지한일 305동11층,125000,5308,77.84,59.96,77.02980473,11,14,3,1,500,1.2,4125,,,
경기 성남시 분당구 분당로201번길 17 효자촌현대 108동7층,159000,4308,122.01,101.64,83.30464716,7,10,4,2,865,1.21,5565,,,
경기 성남시 분당구 분당로263번길 68 장안타운라이프,85000,0,81.53,67.31,82.5585674,4,4,3,2,281,1,2496,,,
경기 성남시 분당구 불정로 219 한솔1단지청구 108동14층,83000,4276,64.18,49.35,76.89311312,14,16,2,1,881,1,2309,,,
경기 성남시 분당구 서판교로 29 판교원9단지한림풀에버 903동2층,143000,4881,96.86,71.84,74.16890357,2,15,3,2,1250,1.19,4719,,,
경기 성남시 분당구 서현로 181 이매한신 210동8층,102000,5000,67.44,50.1,74.28825623,8,15,2,1,1019,0.86,3366,,,
경기 성남시 분당구 성남대로171번길 8 청솔서광,145000,0,107.98,84.96,78.68123727,4,21,3,2,346,1,4785,,,
경기 성남시 분당구 쇳골로 22 하이츠빌리지 301동2층,130000,2382,180.43,158.44,87.81244804,2,4,4,3,122,2.5,4550,,,
경기 성남시 분당구 야탑로 20 탑선경 102동1층,130000,4074,105.48,83.73,79.37997725,1,16,3,2,792,0.81,4290,,,
경기 성남시 분당구 정자로 115 한솔5단지주공 504동14층,93000,5357,57.4,41.85,72.90940767,14,15,2,1,529,0.45,3069,,,
경기 성남시 분당구 정자로 143 한솔2단지LG 207동16층,180000,3079,193.27,164.99,85.36762043,16,25,5,2,940,1.57,6300,,,
경기 성남시 분당구 정자일로 15 분당하우스토리 102동15층,167000,2652,208.17,177.71,85.3677283,15,20,4,2,363,1.71,5845,,,
경기 성남시 분당구 정자일로 21 삼라마이다스빌 1동6층,130000,2412,178.18,147.97,83.04523516,6,16,4,2,160,2.16,4550,,,
경기 성남시 분당구 정자일로 27 코오롱더프라우 1동30층,155000,2762,185.53,153.94,82.97310408,30,33,4,2,235,1.43,5425,,,
경기 성남시 분당구 정자일로 30 청솔계룡 112동11층,140000,4313,107.3,84.97,79.18918919,11,24,3,2,400,0.81,4620,,,
경기 성남시 분당구 정자일로 46 청솔유천화인 206동2층,130000,4039,106.41,84.6,79.50380603,2,16,3,2,494,0.79,4290,,,
경기 성남시 분당구 정자일로 55 분당두산위브 106동16층,167000,3036,181.86,147.6,81.16133289,16,17,4,2,1084,1.65,5845,,,
경기 성남시 분당구 정자일로 72 청솔한라 309동9층,104000,4386,78.38,58.8,75.01913754,9,18,3,1,642,0.83,3432,,,
경기 성남시 분당구 판교백현로 38 판교더샵퍼스트파크 108동중층,180000,5146,115.62,84.95,73.4734475,13,22,3,2,1814,1.48,5940,,,
경기 성남시 분당구 판교역로 145 알파리움2단지 205동6층,250000,4988,165.7,129.25,78.002414,6,20,3,2,1448,2.81,8750,,,
경기 성남시 분당구 판교원로 186 판교원4단지휴먼시아푸르지오 401동2층,200000,4213,156.92,129.75,82.68544481,2,3,4,2,132,2.75,7000,,,
경기 성남시 분당구 판교원로 207 판교원5단지푸르지오 506동6층,215000,4826,147.27,116.04,78.79405174,6,33,4,2,890,1.56,7525,,,
경기 성남시 분당구 판교원로 209 판교원6단지판교대광로제비앙 605동6층,115000,4850,78.38,58.24,74.30466956,6,17,3,2,611,1.3,3795,,,
경기 성남시 분당구 판교원로 237 판교원7단지모아미래도 703동17층,146000,4376,110.29,81.41,73.81448907,17,20,3,2,798,1.36,4818,,,
경기 성남시 분당구 하오개로357번길 17 판교파크하임에비뉴 504동3층,69000,3653,62.44,54.65,87.52402306,3,4,2,1,49,1,1214,,,
경기 성남시 분당구 하오개로363번길 10-1 판교파크하임에비뉴2차 603동고층,75000,3536,70.11,58.28,83.12651548,3,4,3,2,23,1,1650,,,
경기 성남시 수정구 고등로 34 호반써밋판교밸리 215동11층,135000,3983,112.03,84.91,75.79219852,11,14,4,2,1319,1.71,4455,,,
경기 성남시 수정구 공원로 340 청구 101동9층,97000,3390,94.57,84.94,89.81706672,9,15,3,2,267,0.54,3201,,,
경기 성남시 수정구 남문로 85 통보 1동4층,48000,2365,67.12,58.32,86.88915375,4,5,3,1,36,0.8,528,,,
경기 성남시 수정구 남문로140번길 19 태평선경 105동2층,41000,2984,45.41,35.51,78.19863466,2,6,2,1,104,0.33,451,,,
경기 성남시 수정구 논골로 34 통보 1동3층,41000,2043,66.36,58.8,88.60759494,3,6,2,1,0,0,451,,,
경기 성남시 수정구 대왕판교로 801 코오롱린든그로브 103동1층,300000,3971,249.76,208.68,83.55221012,1,4,4,2,149,2.86,10500,,,
경기 성남시 수정구 산성대로 341 한신 1동저층,80000,3185,83.04,60.48,72.83236994,4,15,3,1,0,0,2050,,,
경기 성남시 수정구 성남대로1194번길 3 성남밀란체3 1동고층,69000,1961,116.33,83.89,72.11381415,14,15,3,2,55,1.05,1214,,,
경기 성남시 수정구 수정로 2 삼정그린뷰 105동6층,89000,2749,107.01,84.92,79.35706943,6,10,3,2,290,1.05,2868,,,
경기 성남시 수정구 수정로 265 신흥미래타운 1동고층,63000,2039,102.13,59.93,58.68011358,12,13,3,2,48,1,831,,,
경기 성남시 수정구 수정로 58 세일띠아모 1동4층,82000,2563,105.79,84.85,80.20606863,4,13,3,2,32,1.06,2227,,,
경기 성남시 수정구 수정로 80 우리빌 1동4층,60000,1866,106.32,84.64,79.60872837,4,14,3,2,90,1.07,660,,,
경기 성남시 중원구 광명로 411 한양수자인성남마크뷰 307동14층,85500,3430,82.41,59.84,72.61254702,14,25,3,2,716,1,2539,,,
경기 성남시 중원구 광명로395번길 7 현대 102동9층,57000,2414,78.04,59.94,76.80676576,9,13,2,1,82,0.66,627,,,
경기 성남시 중원구 금상로 134 선경상대원2차 114동15층,56000,2870,64.49,49.98,77.50038766,15,15,2,1,0,0,616,,,
경기 성남시 중원구 금상로 39 현성아름빌 1동11층,61000,2338,86.26,68.26,79.13285416,11,11,3,2,47,1.5,717,,,
경기 성남시 중원구 도촌남로 101 섬마을휴먼시아7단지 712동8층,115000,2314,164.26,132.7,80.7865579,8,15,4,2,885,1.67,4025,,,
경기 성남시 중원구 도촌남로 22 섬마을휴먼시아1단지 108동11층,90000,2645,112.5,84.87,75.44,11,15,3,2,940,1,2970,,,
경기 성남시 중원구 도촌남로 67 섬마을휴먼시아3단지 307동3층,88000,2687,108.28,84.95,78.45400813,3,14,3,2,452,1.1,2778,,,
경기 성남시 중원구 도촌북로 78 섬마을휴먼시아5단지 508동6층,86000,2614,108.77,84.95,78.1005792,6,15,3,2,703,1.11,2582,,,
경기 성남시 중원구 사기막골로150번길 10 산성 103동3층,58500,2196,88.07,71.28,80.93561939,3,21,3,2,292,0.81,643,,,
경기 성남시 중원구 사기막골로31번길 34 상대원삼익 101동8층,39000,2802,46.02,34.05,73.98956975,8,12,2,1,150,0.56,429,,,
경기 성남시 중원구 산성대로 136 지앤느모란(도시형) 1동고층,35500,1998,58.74,36.29,61.78072863,13,14,2,1,29,1,390,,,
경기 성남시 중원구 성남대로1130번길 26 한빛스위티 1동11층,60000,2327,85.21,65.04,76.32906936,11,12,3,1,174,1.41,660,,,
경기 성남시 중원구 순환로 178 성지 104동1층,52000,3218,53.41,40.77,76.33401985,1,6,2,1,270,0.61,572,,,
경기 성남시 중원구 순환로 188 궁전 바동4층,58000,3194,60.04,44.28,73.75083278,4,5,3,1,294,1.09,638,,,
경기 성남시 중원구 순환로198번길 12 일성 1동2층,40000,1533,86.28,67.68,78.44228095,2,15,3,1,158,0.58,440,,,
경기 성남시 중원구 순환로198번길 14 산호 1동저층,41500,1376,99.75,74.79,74.97744361,3,12,3,2,126,0.79,456,,,
경기 성남시 중원구 시민로 66 중앙힐스테이트2차 204동1층,90000,3863,77.04,59.98,77.8556594,1,14,3,2,1186,1.57,2970,,,
경기 성남시 중원구 시민로28번길 9 현대그린 1동고층,70000,2067,111.93,100.95,90.19029751,9,10,4,2,22,1.1,1425,,,
경기 성남시 중원구 자혜로17번길 16동 은행현대 114동1층,84000,2712,102.39,84.63,82.65455611,1,15,3,2,533,0.42,2402,,,
경기 성남시 중원구 자혜로54번길 8 용평금광 1동4층,60000,2084,95.19,81.89,86.02794411,4,6,3,2,12,1,660,,,
경기 성남시 중원구 제일로73번길 16 크란츠빌II 1동6층,65000,2029,105.93,83.98,79.278769,6,15,3,2,93,1.09,950,,,
경기 성남시 중원구 황송로 6 황송마을 108동10층,59500,2836,69.36,49.98,72.05882353,10,15,2,1,408,0.41,654,,,
경기 성남시 중원구 황송로 77 래미안금광 105동22층,98000,2182,148.46,126.57,85.25528762,22,25,4,2,1266,1.15,3430,,,
경기 성남시 중원구 희망로 332 수산리치빌 103동고층,50000,1731,95.48,80.1,83.89191454,12,13,3,2,24,1.08,550,,,
